scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan1,subset_middle,5pct,0,24,8,True,False,0.0036557468120008707,0.0036557468120008707,0.004100610502064228,0.0,-0.00044486369006335735,6.670477867126465,2.3901548385620117,0.9996281266212463,645.3838500976562,0.0
scan1,subset_middle,5pct,1,0,10,True,True,0.004234761465340853,0.00441772909834981,0.006002626847475767,-0.0001829676330089569,-0.0017678653821349144,16.70465087890625,2.9515838623046875,0.9972424507141113,644.5784301757812,0.0
scan1,subset_middle,5pct,2,1,10,True,True,0.0036584266927093267,0.003743822453543544,0.005082026124000549,-8.539576083421707e-05,-0.0014235994312912226,8.978385925292969,2.327648401260376,0.9984122514724731,652.7535400390625,0.0
scan1,subset_middle,5pct,3,2,10,True,True,0.003243819111958146,0.003229741705581546,0.003950988873839378,1.4077406376600266e-05,-0.0007071697618812323,3.2538249492645264,2.100816011428833,1.0,652.1531372070312,0.0
scan1,subset_middle,5pct,4,3,12,True,True,0.003048430662602186,0.002958528930321336,0.003305153688415885,8.990173228085041e-05,-0.00025672302581369877,3.5385425090789795,1.9935609102249146,0.999975860118866,655.3668212890625,0.0
scan1,subset_middle,5pct,5,4,12,True,True,0.003058011643588543,0.003074467182159424,0.0032369771506637335,-1.645553857088089e-05,-0.00017896550707519054,4.121858596801758,1.9624738693237305,0.9998473525047302,647.4716796875,0.0
scan1,subset_middle,2pct,0,24,8,True,False,0.0036557468120008707,0.0036557468120008707,0.004100610502064228,0.0,-0.00044486369006335735,6.670477867126465,2.3901548385620117,0.9996281266212463,645.3838500976562,0.0
scan1,subset_middle,2pct,1,0,10,True,True,0.004234761465340853,0.00441772909834981,0.006002626847475767,-0.0001829676330089569,-0.0017678653821349144,16.70465087890625,2.9515838623046875,0.9972424507141113,644.5784301757812,0.0
scan1,subset_middle,2pct,2,1,10,True,True,0.0036584266927093267,0.003743822453543544,0.005082026124000549,-8.539576083421707e-05,-0.0014235994312912226,8.978385925292969,2.327648401260376,0.9984122514724731,652.7535400390625,0.0
scan1,subset_middle,2pct,3,2,10,True,True,0.003243819111958146,0.003229741705581546,0.003950988873839378,1.4077406376600266e-05,-0.0007071697618812323,3.2538249492645264,2.100816011428833,1.0,652.1531372070312,0.0
scan1,subset_middle,2pct,4,3,12,True,True,0.003048430662602186,0.002958528930321336,0.003305153688415885,8.990173228085041e-05,-0.00025672302581369877,3.5385425090789795,1.9935609102249146,0.999975860118866,655.3668212890625,0.0
